Year,CO2,CH4,N2O
1990,5699.5,45,41.9
1991,5859.8,44.7,40.7
1992,5972.6,43.4,40.2
1993,6039.5,41.4,39.9
1994,6304.4,39.8,41.7
1995,6335.4,36.9,44.5
1996,6590.4,34.8,43.3
1997,6826,31.9,44.9
1998,7039.7,29.2,46.8
1999,7307.1,27,48.7
2000,7488.3,24.5,50.8
2001,7778.5,21.5,50.8
2002,7822.1,18.5,51.9
2003,8034.4,16.1,53.3
2004,8323.4,14.5,55.5
2005,8427.9,13.1,56.7
2006,8581.3,11.5,57.7
2007,8894.8,10.7,60.3
2008,9185.5,9.9,56.5
2009,8431.7,7.9,53.1
2010,8532.7,7.9,55.5
2011,8328.1,7,56
2012,8330.8,6.3,56.9
2013,8228.6,6.1,55.7
2014,8423.8,6.1,58.9
2015,8981.8,6.7,61.9
2016,9555.9,7,65.6
2017,9706.2,10.4,67
2018,9820.4,10.9,67.7
2019,9729.4,10.8,66.5
2020,8969.9,12,62.5
2021,10013.5,13.3,69.3
