Year,CO2,CH4,N2O
1990,23373.4,27047.2,341.4
1991,22919.5,27620.5,337.1
1992,23695.2,27430.6,354.5
1993,25157.5,25550.9,383.3
1994,26698.6,17778.3,398.6
1995,26962.7,19379.2,397.1
1996,28300.7,18186.8,414.5
1997,28379.5,17224.3,430.5
1998,29191.9,14985.6,465.8
1999,27728.1,12533,464.5
2000,27203.8,10900.7,446.6
2001,28164.5,9805,464.7
2002,26965.1,9472.1,498
2003,25742.4,8108.7,437.3
2004,25100.7,7533.2,426.4
2005,24808.1,5622,415.3
2006,22857,5116.8,390.3
2007,22772.4,4620,381.5
2008,22223.1,4456.2,369.5
2009,22193.7,4521.8,365.6
2010,21877.3,4358.5,356.5
2011,19417.3,4310.7,331.2
2012,17527.4,4443.8,301.8
2013,17319.9,3338.2,287.9
2014,17392.9,3200.1,286.5
2015,19074.6,2802.4,316.7
2016,18944.7,1833.2,315.5
2017,18888,1830,306.7
2018,18589.3,1893.4,302.1
2019,18645.7,1772.5,312.2
2020,17336.5,1490.3,303.3
2021,15567.4,1347.2,262
