country,year,cement_co2,co2,co2_including_luc,coal_co2,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,flaring_co2,flaring_co2_per_capita,gas_co2,methane,nitrous_oxide,oil_co2,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o
India,1900,0,11.93,121.521,10.654,0,115.005,3858.624,101.567,0,0,6438.073,13.438,0,0,0,0,0,1.275,0,0.611,1.92,0.569,0,0.256,1.861,0.231,0,0,3.854,1.625,0,0,2.504,1.893,4.409,0.003,0.001,0.005,0.001
India,1901,0,13.18,119.803,11.553,0,128.185,3978.426,113.12,0,0,6544.696,15.065,0,0,0,0,0,1.627,0,0.654,1.862,0.599,0,0.273,1.861,0.247,0,0,3.817,1.671,0,0,2.413,2.175,4.379,0.003,0.002,0.005,0.001
India,1902,0,14.515,120.725,12.926,0,142.7,4099.151,126.045,0,0,6650.906,16.655,0,0,0,0,0,1.59,0,0.702,1.842,0.655,0,0.291,1.86,0.264,0,0,3.78,1.695,0,0,2.367,1.967,4.346,0.003,0.002,0.006,0.001
India,1903,0,14.802,119.15,12.952,0,157.502,4218.301,138.997,0,0,6755.254,18.505,0,0,0,0,0,1.85,0,0.657,1.765,0.601,0,0.307,1.857,0.278,0,0,3.743,1.733,0,0,2.321,2.161,4.306,0.003,0.002,0.006,0.001
India,1904,0,16.561,120.134,14.308,0,174.063,4338.435,153.305,0,0,6858.827,20.758,0,0,0,0,0,2.253,0,0.726,1.75,0.66,0,0.325,1.854,0.294,0,0,3.707,1.783,0,0,2.26,2.344,4.264,0.003,0.002,0.006,0.001
India,1905,0,16.931,118.577,14.659,0,190.994,4457.013,167.964,0,0,6960.474,23.03,0,0,0,0,0,2.272,0,0.698,1.688,0.634,0,0.341,1.849,0.308,0,0,3.67,1.826,0,0,2.211,2.34,4.217,0.003,0.002,0.006,0.001
India,1906,0,19.549,119.321,17.036,0,210.544,4576.334,185,0,0,7060.245,25.544,0,0,0,0,0,2.514,0,0.771,1.667,0.705,0,0.36,1.844,0.325,0,0,3.634,1.879,0,0,2.158,2.566,4.167,0.004,0.002,0.006,0.001
India,1907,0,21.772,120.563,19.413,0,232.316,4696.897,204.413,0,0,7159.036,27.903,0,0,0,0,0,2.36,0,0.754,1.596,0.707,0,0.379,1.837,0.343,0,0,3.599,1.887,0,0,2.117,1.974,4.111,0.004,0.002,0.006,0.001
India,1908,0,24.908,122.912,22.237,0,257.224,4819.809,226.65,0,0,7257.04,30.574,0,0,0,0,0,2.671,0,0.897,1.643,0.847,0,0.401,1.831,0.364,0,0,3.564,1.902,0,0,2.083,2.072,4.058,0.004,0.002,0.006,0.001
India,1909,0,24.143,121.487,20.669,0,281.367,4941.296,247.319,0,0,7354.384,34.048,0,0,0,0,0,3.473,0,0.835,1.591,0.757,0,0.42,1.824,0.381,0,0,3.529,1.954,0,0,2.051,2.583,4.001,0.004,0.002,0.006,0.001
India,1910,0,23.487,123.703,20.977,0,304.854,5064.999,268.297,0,0,7454.599,36.558,0,0,0,0,0,2.51,0,0.774,1.611,0.733,0,0.435,1.819,0.396,0,0,3.499,1.938,0,0,2.159,1.741,3.943,0.004,0.002,0.006,0.001
India,1911,0,24.782,126.036,22.144,0,329.637,5191.034,290.441,0,0,7555.852,39.196,0,0,0,0,0,2.638,0,0.805,1.639,0.764,0,0.451,1.814,0.411,0,0,3.472,1.922,0,0,2.197,1.725,3.888,0.004,0.002,0.007,0.001
India,1912,0,28.521,129.882,25.609,0,358.158,5320.916,316.049,0,0,7657.213,42.109,0,0,0,0,0,2.913,0,0.881,1.668,0.84,0,0.469,1.81,0.428,0,0,3.446,1.917,0,0,2.228,1.852,3.837,0.004,0.002,0.007,0.001
India,1913,0,31.467,133.414,28.224,0,389.625,5454.331,344.274,0,0,7759.16,45.351,0,0,0,0,0,3.243,0,0.897,1.658,0.857,0,0.488,1.806,0.447,0,0,3.422,1.907,0,0,2.246,1.78,3.786,0.004,0.002,0.007,0.001
India,1914,0,31.698,133.775,28.671,0,421.323,5588.105,372.945,0,0,7861.237,48.378,0,0,0,0,0,3.027,0,0.997,1.734,0.968,0,0.507,1.804,0.466,0,0,3.399,1.886,0,0,2.25,1.626,3.743,0.004,0.002,0.007,0.001
India,1915,0,33.142,135.895,29.785,0,454.465,5724,402.73,0,0,7963.991,51.734,0,0,0,0,0,3.356,0,1.057,1.782,1.026,0,0.527,1.804,0.486,0,0,3.378,1.873,0,0,2.288,1.698,3.703,0.004,0.002,0.007,0.001
India,1916,0,33.518,135.907,30.044,0,487.982,5859.908,432.775,0,0,8066.38,55.207,0,0,0,0,0,3.473,0,0.99,1.736,0.96,0,0.545,1.802,0.503,0,0,3.358,1.854,0,0,2.305,1.613,3.663,0.004,0.002,0.007,0.001
India,1917,0,35.02,136.63,31.715,0,523.002,5996.538,464.49,0,0,8167.991,58.512,0,0,0,0,0,3.305,0,0.989,1.715,0.974,0,0.562,1.8,0.52,0,0,3.339,1.819,0,0,2.295,1.38,3.625,0.004,0.002,0.007,0.001
India,1918,0,39.359,140.625,36.087,0,562.361,6137.163,500.577,0,0,8269.257,61.784,0,0,0,0,0,3.272,0,1.127,1.769,1.124,0,0.582,1.799,0.541,0,0,3.32,1.784,0,0,2.273,1.335,3.591,0.004,0.002,0.007,0.001
India,1919,0,42.975,144.13,39.403,0,605.336,6281.293,539.98,0,0,8370.411,65.356,0,0,0,0,0,3.572,0,1.419,1.937,1.451,0,0.607,1.802,0.567,0,0,3.302,1.749,0,0,2.292,1.306,3.565,0.004,0.002,0.007,0.001
India,1920,0,34.868,299.575,31.277,0,640.204,6580.869,571.257,0,0,8635.119,68.947,0,0,0,0,0,3.591,0,0.99,3.685,1.001,0,0.621,1.845,0.581,0,0,3.346,1.687,0,0,5.744,1.022,3.544,0.004,0.002,0.007,0.001
India,1921,0,37.506,368.432,33.614,0,677.709,6949.3,604.871,0,0,8966.046,72.838,0,0,0,0,0,3.891,0,1.214,4.71,1.26,0,0.638,1.906,0.599,0,0,3.411,1.629,0,0,6.994,1.011,3.537,0.004,0.003,0.008,0.001
India,1922,0,36.903,408.556,33.104,0,714.613,7357.856,637.975,0,0,9337.698,76.637,0,0,0,0,0,3.799,0,1.139,5.085,1.195,0,0.653,1.975,0.615,0,0,3.489,1.564,0,0,7.752,0.89,3.534,0.004,0.003,0.008,0.001
India,1923,0,37.972,431.744,34.231,0,752.585,7789.6,672.206,0,0,9731.47,80.378,0,0,0,0,0,3.741,0,1.033,5.101,1.088,0,0.665,2.044,0.628,0,0,3.572,1.496,0,0,8.224,0.789,3.532,0.004,0.003,0.008,0.001
India,1924,0,40.628,452.458,36.879,0,793.213,8242.058,709.086,0,0,10143.3,84.127,0,0,0,0,0,3.749,0,1.102,5.327,1.17,0,0.679,2.116,0.644,0,0,3.659,1.439,0,0,8.567,0.794,3.534,0.004,0.003,0.008,0.001
India,1925,0,40.085,467.116,36.399,0,833.298,8709.173,745.485,0,0,10570.331,87.813,0,0,0,0,0,3.686,0,1.076,5.43,1.155,0,0.691,2.188,0.658,0,0,3.747,1.385,0,0,8.76,0.746,3.541,0.004,0.003,0.008,0.001
India,1926,0,39.943,475.485,36.568,0,873.24,9184.658,782.053,0,0,11005.873,91.187,0,0,0,0,0,3.375,0,1.091,5.581,1.187,0,0.703,2.259,0.672,0,0,3.835,1.335,0,0,8.965,0.685,3.551,0.004,0.003,0.009,0.001
India,1927,0,41.884,488.043,38.454,0,915.124,9672.702,820.507,0,0,11452.032,94.617,0,0,0,0,0,3.43,0,1.048,5.507,1.144,0,0.714,2.328,0.685,0,0,3.924,1.283,0,0,9.167,0.635,3.563,0.004,0.003,0.009,0.001
India,1928,0.289,40.073,493.326,39.257,0.289,955.197,10166.027,859.764,0,0,11905.285,95.144,0,0,0,0,0,0.528,0.812,1.007,5.572,1.188,0.348,0.722,2.396,0.699,0,0,4.013,1.201,0,0,9.297,0.096,3.576,0.004,0.003,0.009,0.001
India,1929,0.293,41.708,502.922,40.781,0.581,996.905,10668.949,900.545,0,0,12366.5,95.778,0,0,0,0,0,0.634,0.793,0.977,5.49,1.158,0.485,0.73,2.461,0.712,0,0,4.101,1.123,0,0,9.434,0.105,3.591,0.004,0.003,0.009,0.001
India,1930,0.293,42.399,515.635,41.451,0.874,1039.304,11184.585,941.996,0,0,12839.735,96.434,0,0,0,0,0,0.656,0.823,1.077,5.792,1.29,0.563,0.74,2.528,0.726,0,0,4.189,1.058,0,0,9.533,0.113,3.611,0.005,0.004,0.009,0.001
India,1931,0.3,38.851,516.926,37.814,1.174,1078.155,11701.511,979.811,0,0,13317.811,97.171,0,0,0,0,0,0.736,0.971,1.104,6.042,1.336,0.63,0.749,2.595,0.739,0,0,4.274,1.004,0,0,9.494,0.131,3.635,0.005,0.004,0.01,0.001
India,1932,0.304,36.129,517.528,35.093,1.478,1114.285,12219.039,1014.904,0,0,13799.209,97.903,0,0,0,0,0,0.733,1.23,1.138,6.262,1.393,0.701,0.757,2.661,0.751,0,0,4.358,0.958,0,0,9.455,0.136,3.663,0.005,0.004,0.01,0.001
India,1933,0.319,35.467,521.258,34.46,1.797,1149.752,12740.297,1049.363,0,0,14285,98.592,0,0,0,0,0,0.689,1.337,1.061,6.166,1.308,0.765,0.764,2.724,0.762,0,0,4.439,0.912,0,0,9.502,0.117,3.691,0.005,0.004,0.01,0.001
India,1934,0.39,39.611,527.722,38.411,2.187,1189.363,13268.02,1087.774,0,0,14773.11,99.402,0,0,0,0,0,0.81,1.368,1.09,6,1.335,0.831,0.772,2.785,0.774,0,0,4.518,0.87,0,0,9.457,0.13,3.718,0.005,0.004,0.01,0.001
India,1935,0.454,41.393,531.865,40.082,2.641,1230.756,13799.885,1127.857,0,0,15263.582,100.259,0,0,0,0,0,0.857,1.416,1.085,5.923,1.338,0.894,0.779,2.843,0.785,0,0,4.596,0.828,0,0,9.497,0.127,3.744,0.005,0.004,0.011,0.001
India,1936,0.499,40.684,536.477,39.376,3.14,1271.441,14336.361,1167.232,0,0,15759.375,101.069,0,0,0,0,0,0.81,1.288,0.972,5.722,1.199,0.94,0.784,2.897,0.795,0,0,4.672,0.787,0,0,9.552,0.11,3.771,0.005,0.004,0.011,0.001
India,1937,0.581,45.067,544.795,43.599,3.721,1316.508,14881.156,1210.832,0,0,16259.103,101.956,0,0,0,0,0,0.887,1.425,1.007,5.645,1.259,0.993,0.79,2.95,0.805,0,0,4.747,0.746,0,0,9.654,0.107,3.799,0.005,0.004,0.011,0.002
India,1938,0,50.38,551.068,49.357,3.721,1366.888,15432.224,1260.189,0,0,16759.791,102.978,0,0,0,0,0,1.022,0,1.198,5.856,1.529,0.9,0.8,3.003,0.821,0,0,4.82,0.712,0,0,9.622,0.127,3.831,0.006,0.005,0.012,0.002
India,1939,0,49.312,552.204,48.36,3.721,1416.2,15984.428,1308.548,0,0,17262.682,103.931,0,0,0,0,0,0.953,0,1.108,5.718,1.408,0.829,0.808,3.053,0.833,0,0,4.892,0.679,0,0,9.659,0.114,3.862,0.006,0.005,0.012,0.002
India,1940,0,52.31,560.841,51.177,3.721,1468.51,16545.27,1359.726,0,0,17771.215,105.063,0,0,0,0,0,1.132,0,1.076,5.497,1.349,0.774,0.815,3.1,0.846,0,0,4.961,0.649,0,0,9.52,0.129,3.893,0.006,0.005,0.012,0.002
