Year,CO2,CH4,N2O
1990,65624.1,403,639.7
1991,66069.4,401.6,646.3
1992,67108.4,399,652.5
1993,68465.9,397,660.5
1994,69453.9,396.3,665.4
1995,72322.8,394.6,685.6
1996,77967.8,395.2,727.8
1997,86897.5,394.6,821.8
1998,91830.5,388.8,862.3
1999,90171.2,382.1,821.6
2000,92792.5,375.2,836.6
2001,96572.2,371.1,878.4
2002,93159.3,363.7,828
2003,93147.4,358.4,814.1
2004,95251.4,361.8,821.5
2005,97055.7,343.1,822.6
2006,88257.6,333.4,701.5
2007,92348.6,320.2,749.1
2008,88297.1,304.3,718
2009,81352.8,278.3,673.1
2010,81694.1,315.1,695.6
2011,85168.9,304.8,764.1
2012,81487.8,272.3,747.6
2013,78370.5,265.1,733.5
2014,83182.7,242.1,807.7
2015,85046.2,242.4,841.5
2016,87704.3,233.6,885.5
2017,81425.7,232.2,805.4
2018,86177.9,220.6,864.4
2019,84829,207,862.7
2020,60762.5,195,680.5
2021,55262.8,196.8,611.4
